dataset_id,dataset_family,alpha,model_family,fixed_gbm_row_count,model_matched_row_count,coverage_delta_model_matched_minus_fixed,interval_score_delta_model_matched_minus_fixed,mean_width_delta_model_matched_minus_fixed,selected_variant,selection_rule,claim_status
aif360_lawschool_gpa,aif360,0.1,boosting,32,32,0.00285997986127,-0.0136554482498,-0.00218888496123,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa,aif360,0.1,instance_based,8,8,0.00531438800627,0.409114896225,0.352462189799,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa,aif360,0.1,kernel,16,16,0.00436339225778,-0.031802802322,-0.015541002397,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa,aif360,0.1,linear,8,8,0.00346833743567,-0.0199071644486,-0.00220318143126,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa,aif360,0.1,linear_bayesian,2,2,0.00346833743567,-0.0199071644486,-0.00220318143126,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa,aif360,0.1,sparse_linear,12,12,0.00346833743567,-0.0199071644486,-0.00220318143126,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa,aif360,0.1,tree_ensemble,16,16,0.0015243902439,0.0418931901294,0.0353815880598,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa_dedup,aif360,0.1,boosting,32,32,0.00141776937618,-0.0145438550913,0.0050286311254,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa_dedup,aif360,0.1,instance_based,8,8,-0.0023629489603,0.431049573857,0.319807967282,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa_dedup,aif360,0.1,kernel,16,16,0.000531663516068,-0.0249647593444,-0.0144205035478,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa_dedup,aif360,0.1,linear,8,8,0.00129962192817,0.000461336870447,-0.00872077810504,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa_dedup,aif360,0.1,linear_bayesian,2,2,0.00129962192817,0.000461336870447,-0.00872077810504,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa_dedup,aif360,0.1,sparse_linear,12,12,0.00129962192817,0.000461336870447,-0.00872077810504,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
aif360_lawschool_gpa_dedup,aif360,0.1,tree_ensemble,16,16,0.00279123345936,0.0667954207152,0.0632981852965,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
college_scorecard_2026_median_earnings,college_scorecard,0.1,boosting,48,48,0.00485302345988,4872.03957794,5179.06064663,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
college_scorecard_2026_median_earnings,college_scorecard,0.1,instance_based,12,12,0.0176125688513,8270.33377744,7946.03598905,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
college_scorecard_2026_median_earnings,college_scorecard,0.1,kernel,36,36,0.0070151353261,4609.45156754,5034.56221691,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
college_scorecard_2026_median_earnings,college_scorecard,0.1,linear,12,12,0.0106845733456,890.837193355,2240.85573714,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
college_scorecard_2026_median_earnings,college_scorecard,0.1,linear_bayesian,3,3,0.0106845733456,890.837193355,2240.85573714,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
college_scorecard_2026_median_earnings,college_scorecard,0.1,sparse_linear,18,18,0.0106845733456,890.837193355,2240.85573714,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
college_scorecard_2026_median_earnings,college_scorecard,0.1,tree_ensemble,24,24,0.0103606766242,1988.73870113,3242.36657977,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
hmda_2025_wy_interest_rate,hmda,0.1,boosting,84,84,0.00847561744693,0.0993707767108,0.0673531759671,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
hmda_2025_wy_interest_rate,hmda,0.1,instance_based,12,12,0.0205661145046,0.584081601843,0.516329978427,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
hmda_2025_wy_interest_rate,hmda,0.1,linear,15,15,0.0379672268575,0.101496799661,0.403423549141,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
hmda_2025_wy_interest_rate,hmda,0.1,linear_bayesian,3,3,0.0379672268575,0.101496799661,0.403423549141,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
hmda_2025_wy_interest_rate,hmda,0.1,sparse_linear,18,18,0.0379672268575,0.101496799661,0.403423549141,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
hmda_2025_wy_interest_rate,hmda,0.1,tree_ensemble,24,24,-0.00196894570203,0.097596149693,-0.0385403039345,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
meps_2023_total_expenditure,meps,0.1,boosting,84,84,-0.0202730274623,220.742689115,-420.40055817,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
meps_2023_total_expenditure,meps,0.1,instance_based,12,12,-0.0353803678101,5914.18236253,4430.66179849,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
meps_2023_total_expenditure,meps,0.1,linear,15,15,-0.0203870037303,138.334541667,4633.99885285,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
meps_2023_total_expenditure,meps,0.1,linear_bayesian,3,3,-0.0203870037303,138.334541667,4633.99885285,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
meps_2023_total_expenditure,meps,0.1,sparse_linear,18,18,-0.0203870037303,138.334541667,4633.99885285,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
meps_2023_total_expenditure,meps,0.1,tree_ensemble,24,24,-0.0382522251119,86679.1973161,114175.666847,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_bmi,nhanes,0.1,boosting,48,48,-0.00169165105143,-0.0678187907017,0.164078336749,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_bmi,nhanes,0.1,instance_based,12,12,-0.00988965230065,3.61458593095,1.6725161724,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_bmi,nhanes,0.1,kernel,36,36,-0.00104101603165,1.63438674934,2.15626027655,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_bmi,nhanes,0.1,linear,12,12,-0.000416406412659,2.75788955652,3.26874067487,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_bmi,nhanes,0.1,linear_bayesian,3,3,-0.000416406412659,2.75788955652,3.26874067487,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_bmi,nhanes,0.1,sparse_linear,18,18,-0.000416406412659,2.75788955652,3.26874067487,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_bmi,nhanes,0.1,tree_ensemble,24,24,-0.00249843847595,3.39089436308,1.34000782088,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_glycohemoglobin,nhanes,0.1,boosting,48,48,0.00249862145023,0.0671950005773,-0.0682461938602,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_glycohemoglobin,nhanes,0.1,instance_based,12,12,0.00137854976565,0.632697149539,0.0157452956211,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_glycohemoglobin,nhanes,0.1,kernel,36,36,0.00551419906259,0.0859080554228,-0.0371471285562,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_glycohemoglobin,nhanes,0.1,linear,12,12,0.00551419906259,0.08907914844,0.0241911923796,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_glycohemoglobin,nhanes,0.1,linear_bayesian,3,3,0.00551419906259,0.08907914844,0.0241911923796,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_glycohemoglobin,nhanes,0.1,sparse_linear,18,18,0.00551419906259,0.08907914844,0.0241911923796,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_glycohemoglobin,nhanes,0.1,tree_ensemble,24,24,0.00113730355666,0.5894413383,-0.211958132982,no_coverage_eligible_variant,no coverage-eligible variant in paired cell,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_systolic_bp,nhanes,0.1,boosting,48,48,0.000356788284934,0.627291238559,-0.153286402057,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_systolic_bp,nhanes,0.1,instance_based,12,12,-0.00409530900968,7.31619446593,3.48472513229,fixed_gbm_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_systolic_bp,nhanes,0.1,kernel,36,36,0.000951435426491,-0.162452200129,-0.310444979273,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_systolic_bp,nhanes,0.1,linear,12,12,0.00347480764458,-1.25378919909,0.230957646436,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_systolic_bp,nhanes,0.1,linear_bayesian,3,3,0.00347480764458,-1.25378919909,0.230957646436,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
nhanes_2017_2018_systolic_bp,nhanes,0.1,sparse_linear,18,18,0.00347480764458,-1.25378919909,0.230957646436,model_matched_cqr,coverage_eligible_min_interval_score,backend_sensitivity_evidence_not_method_selection
