dataset_id,source_dataset_id,dataset_family,source_name,version,license_or_terms,retrieval_command_or_url,source_profile_path,source_profile_sha256,content_hash_scope,raw_content_hash_status,redistribution_status,row_count_after_policy,target_name,target_policy_summary,metadata_status,benchmark_v2_candidate_source,dataset_card
aif360_lawschool_gpa,aif360_lawschool,aif360,aif360_lawschool,aif360_dataset_pending,aif360_dataset_terms_pending_final_terms_review,https://aif360.readthedocs.io/,experiments/regression/audits/aif360_lawschool_gpa/audit.json,fdbf14125bc92939303dcf65c109c682c63319c4b5632bf8bafb343c82eba59e,profile_metadata_not_raw_dataset,raw_data_not_redistributed_or_not_publicly_hashed,metadata_and_retrieval_public_raw_not_redistributed,22342,zfygpa,profile_metadata_review_required,profile_metadata_available,true,atlas/datasets/cards/aif360_lawschool_gpa.html
aif360_lawschool_gpa_dedup,aif360_lawschool,aif360,aif360_lawschool,aif360_dataset_pending,aif360_dataset_terms_pending_final_terms_review,https://aif360.readthedocs.io/,experiments/regression/audits/aif360_lawschool_gpa_dedup/audit.json,edf902de0330e369e992d0e5de9e959dfc2e35b75f5490fd109793f054286a5d,profile_metadata_not_raw_dataset,raw_data_not_redistributed_or_not_publicly_hashed,metadata_and_retrieval_public_raw_not_redistributed,21157,zfygpa,profile_metadata_review_required,profile_metadata_available,true,atlas/datasets/cards/aif360_lawschool_gpa_dedup.html
college_scorecard_2026_median_earnings,college_scorecard_2026,college_scorecard,college_scorecard_2026,2026,official_public_us_department_of_education_data_as_recorded_in_audit,https://collegescorecard.ed.gov/data/,experiments/regression/audits/college_scorecard_2026_median_earnings/profile.json,e4ebe239ae966826a2802fdd696721dec5a6e2cc128326c9a1d332c8cb4204c1,profile_metadata_not_raw_dataset,raw_data_not_redistributed_or_not_publicly_hashed,metadata_and_retrieval_public_raw_not_redistributed,5127,MD_EARN_WNE_P10,"Use College Scorecard institution-level MD_EARN_WNE_P10: median earnings of students working and not enrolled 10 years after entry. Drop missing and nonpositive target values for audit profiling. Runner use requires cohort-alignment review, privacy-suppression policy, and raw/log target sensitivity.",profile_metadata_available,true,atlas/datasets/cards/college_scorecard_2026_median_earnings.html
fairlearn_acs_income_wy,fairlearn_acs_income_wy,fairlearn,fairlearn.datasets.fetch_acs_income,pending_public_verification,pending_public_verification,profile_or_source_review_required,experiments/regression/audits/fairlearn_acs_income_wy/audit.json,6adc3afc7fb5b23b012c7b6f9ce277da3286d81c500512817d0333fda7909833,profile_metadata_not_raw_dataset,raw_data_not_redistributed_or_not_publicly_hashed,metadata_and_retrieval_public_raw_not_redistributed,3064,PINCP,profile_metadata_review_required,profile_metadata_available,false,atlas/datasets/cards/fairlearn_acs_income_wy.html
fairlearn_diabetes_hospital_los,fairlearn_diabetes_hospital_los,fairlearn,Fairlearn Diabetes 130-Hospitals,pending_public_verification,pending_public_verification,https://fairlearn.org/main/api_reference/generated/fairlearn.datasets.fetch_diabetes_hospital.html,experiments/regression/audits/fairlearn_diabetes_hospital_los/profile.json,ee5888d79c38da4fd2a13a3eadd266f5400eb3a8507e7b0e028292e0be35b125,profile_metadata_not_raw_dataset,raw_data_not_redistributed_or_not_publicly_hashed,metadata_and_retrieval_public_raw_not_redistributed,101766,time_in_hospital,profile_metadata_review_required,profile_metadata_available,false,atlas/datasets/cards/fairlearn_diabetes_hospital_los.html
folktables_acs_poverty_ratio_wy,folktables_acs_poverty_ratio_wy,folktables,Folktables ACS PUMS custom regression,pending_public_verification,pending_public_verification,https://www2.census.gov/programs-surveys/acs/tech_docs/pums/data_dict/PUMS_Data_Dictionary_2018.pdf,experiments/regression/audits/folktables_acs_poverty_ratio_wy/profile.json,cfb3aa743fa1bda26cb3cc81aa997bf6b511c7833a95c33e4e7591769e157a3b,profile_metadata_not_raw_dataset,raw_data_not_redistributed_or_not_publicly_hashed,metadata_and_retrieval_public_raw_not_redistributed,5553,POVPIP,Continuous income-to-poverty ratio recode. Drop rows with missing POVPIP for audit profiling; document top-code at 501 and person survey-weight policy before runner use.,profile_metadata_available,false,atlas/datasets/cards/folktables_acs_poverty_ratio_wy.html
folktables_acs_travel_time_wy,folktables_acs_travel_time_wy,folktables,Folktables ACS PUMS custom regression,pending_public_verification,pending_public_verification,https://www2.census.gov/programs-surveys/acs/tech_docs/pums/data_dict/PUMS_Data_Dictionary_2018.pdf,experiments/regression/audits/folktables_acs_travel_time_wy/profile.json,0e8d49d54c87588f1c26bc421dd30d841b8f1947916eb06e93f8da4df361b779,profile_metadata_not_raw_dataset,raw_data_not_redistributed_or_not_publicly_hashed,metadata_and_retrieval_public_raw_not_redistributed,2506,JWMNP,"Continuous travel time in minutes for the Folktables travel-time universe. Drop rows with missing JWMNP after the age, positive person-weight, and employed-civilian filters; keep survey-weight policy unresolved before runner use.",profile_metadata_available,false,atlas/datasets/cards/folktables_acs_travel_time_wy.html
hmda_2025_wy_interest_rate,hmda_2025_wy_originated_loans,hmda,hmda_2025_wy_originated_loans,2025_wy_action_taken_1,official_public_hmda_lar_data_as_recorded_in_audit,https://ffiec.cfpb.gov/v2/data-browser-api/view/csv?states=WY&years=2025&actions_taken=1,experiments/regression/audits/hmda_2025_wy_interest_rate/profile.json,d01e9259ccc2d82d9320cedc7b8167f42198b89619ebc62614de93a77e9336b9,profile_metadata_not_raw_dataset,raw_data_not_redistributed_or_not_publicly_hashed,metadata_and_retrieval_public_raw_not_redistributed,11876,interest_rate,"Keep only originated-loan records from the official API subset (actions_taken=1) with positive numeric interest_rate. Drop Exempt, blank/non-numeric, and zero interest-rate records for this audit.",profile_metadata_available,true,atlas/datasets/cards/hmda_2025_wy_interest_rate.html
meps_2023_total_expenditure,meps_2023_hc251,meps,meps_2023_hc251,2023,official_public_use_data_as_recorded_in_audit,https://meps.ahrq.gov/mepsweb/data_stats/download_data_files.jsp,experiments/regression/audits/meps_2023_total_expenditure/profile.json,b4bc573785e403144e1b24aafe2a00ade4f8aeda3ff70447864ae8f4fc9e399f,profile_metadata_not_raw_dataset,raw_data_not_redistributed_or_not_publicly_hashed,metadata_and_retrieval_public_raw_not_redistributed,18919,TOTEXP23,Use MEPS HC-251 person-level total health-care expenditure TOTEXP23 for 2023. Keep zero expenditures because they are substantive annual outcomes; drop only missing or negative target codes if present. Runner use requires raw/log1p and zero-mass sensitivity.,profile_metadata_available,true,atlas/datasets/cards/meps_2023_total_expenditure.html
nhanes_2017_2018_bmi,nhanes_2017_2018_examination,nhanes,nhanes_2017_2018_examination,2017-2018,official_public_use_data_pending_final_terms_review,https://wwwn.cdc.gov/nchs/nhanes/continuousnhanes/default.aspx?BeginYear=2017,experiments/regression/audits/nhanes_2017_2018_bmi/profile.json,16080411f8ce07a7e3dd7b242221501563590c8a8945f90d9e1d72e42b828da5,profile_metadata_not_raw_dataset,raw_data_not_redistributed_or_not_publicly_hashed,metadata_and_retrieval_public_raw_not_redistributed,8005,BMXBMI,"BMI from NHANES body measures, observed after examination. Drop missing BMI for audit profiling; never use BMXWT/BMXHT as model features because BMI is calculated from weight and height; require MEC survey-weight/strata/PSU policy before runner use.",profile_metadata_available,true,atlas/datasets/cards/nhanes_2017_2018_bmi.html
