claim_id,claim_type,reader_safe_statement,plain_language,evidence_reference,support_status,scope_limit,kg_reference_node_count,claim_status
dataset_scope,scope claim,The dataset/source audit defines the studied scope under the recorded review policy.,This row tells a reader what data sources were inspected; the dataset list defines study scope rather than a final dataset-level result.,Dataset/source descriptions need source citations before report prose; the matrix does not certify exhaustive internet coverage.,supported by audited artifacts and KG trace,The dataset/source audit is a scoped study surface rather than exhaustive internet coverage or final dataset-level result overstatement.,9,experiment-scoped reporting
method_scope,descriptive empirical claim,"Under the current coverage criterion, the fixed-GBM CQR pipeline was most frequently selected; Mondrian calibration and CV+ were secondary candidates.","This row permits a careful description of what looked useful in the experiment, not a general rule for every regression problem.",Method descriptions need literature citations; empirical language must stay limited to these experiments.,supported by audited artifacts and KG trace,Method behavior is reported as experiment-scoped evidence rather than deployment guidance.,9,experiment-scoped reporting
main_results_scope,stronger reading requiring validation,"The current evidence does not support a study-wide method choice, final main result, or deployment rule.",This row prevents a reader from mistaking promising diagnostic patterns for a final answer.,This reading would require a separate pre-specified validation protocol.,supported by audited artifacts and KG trace,Method-selection conclusions would need separate validation studies.,9,experiment-scoped reporting
robustness_diagnostics,caveated diagnostic claim,Robustness rows are post-selection diagnostics and should be read with their multiplicity caveats.,This row records useful diagnostics without turning them into superiority evidence.,Statistical or robustness interpretations need the documented audit context; they are not confirmatory superiority claims.,supported by audited artifacts and KG trace,Robustness diagnostics are descriptive rather than confirmatory superiority evidence.,9,experiment-scoped reporting
venn_abers_bridge_result,negative failure mode claim,"In these experiments, the evaluated fast Venn-Abers regression bridge did not validate as the expected strong regression interval solution.",This row records that one tested bridge behaved poorly while the broader Venn-Abers literature remains separate.,The claim is bridge-specific negative evidence and leaves the broader Venn-Abers literature separate.,supported by audited artifacts and KG trace,Validated Venn-Abers regression interval support would require separate evidence.,9,experiment-scoped reporting
methodology_records,methodology control claim,"The study includes audit controls for traceability, neutrality, and reproducibility.",This row explains the guardrails around the study rather than claiming the guardrails make every result final.,Control descriptions support reproducibility claims; scientific validity rests on the empirical evidence.,supported by audited artifacts and KG trace,"Treat controls as traceability evidence, not validity proof.",9,experiment-scoped reporting
reproducibility_traceability,reproducibility traceability claim,"The Research Atlas package records completed-row accounting, resume-safety controls, and knowledge-graph traceability.",This row tells a reader how the work can be audited and resumed from the Research Atlas.,Cite the Research Atlas repository; source provenance is tracked separately.,supported by audited artifacts and KG trace,Cite the Research Atlas repository; source provenance is tracked separately.,9,experiment-scoped reporting
individual_report_plan,authoring blueprint claim,The individual report blueprint records the author-stamped section map for later review.,This row preserves the report plan and author metadata for traceable review.,This is an authoring map for the individual experiment report.,supported by audited artifacts and KG trace,Keep the individual-report blueprint separate from generated publication outputs.,9,experiment-scoped reporting
evidence_limit:universal_best_method,evidence_limit,Universal best method,The synthesis describes this experiment rather than a universal ranking.,method_performance_synthesis and claim_evidence_matrix,would need a separate validation study,A prospectively designed external validation protocol that would justify choosing a method.,,would need a separate validation study
evidence_limit:production_guidance,evidence_limit,Production or deployment guidance,"Operational risk, monitoring, and deployment constraints require a separate study.",claim_evidence_matrix,would need a separate validation study,"A separate deployment study with operational requirements, monitoring design, and domain-specific risk review.",,would need a separate validation study
evidence_limit:population_group_inference,evidence_limit,Population-level group inference,Population-level group inference requires a pre-specified inference design.,ready bundles=0,would need a separate validation study,"A pre-specified population inference protocol with sampling design, estimands, and uncertainty model.",,would need a separate validation study
evidence_limit:bounded_support_validity,evidence_limit,Bounded-support validity,A ready bounded-support validity bundle was not recorded.,ready bundles=0,would need a separate validation study,A complete bounded-support validity analysis with estimator conventions and empirical stress tests.,,would need a separate validation study
evidence_limit:validated_venn_abers_regression_interval,evidence_limit,Validated Venn-Abers regression interval,The evaluated bridge produced negative or diagnostic evidence rather than a validated interval result.,The expected strong regression solution did not emerge in these experiments.,would need a separate validation study,"A separately validated Venn-Abers regression construction with appropriate target, calibration, and interval semantics.",,would need a separate validation study
evidence_limit:cqr_backend_method_selection,evidence_limit,CQR backend method selection,Descriptive signal within this experiment,cqr_fixed_vs_model_matched_synthesis,would need a separate validation study,A future decision to run and validate a prospectively matched method-selection protocol.,,would need a separate validation study
